filename,type,title,artist,techniques,Soul Score,lyrics,rhythm,instrument
AP_E05_05730.json,Instrumental,우조 삼수대엽 (해금풍류),박혜신,2,0.25,,,거문고
AM_F06_04493.json,Vocal,영감아 영감 2 (mbc),오금입,11,0.58,영감 아영감아 개떡묵게 꿀보른 개떡은 내가 묵고 춤보른 개떡은 영감줌세,중모리,여성성악
AP_E01_03696.json,Instrumental,영산회상 상령산(지금풍류),정겨운,3,0.12,,,해금
AP_F08_01699.json,Vocal,판소리 수궁가,염경애,25,0.87,오초는 어이하야동남으로 멀어 있고 건곤어 이하야 일야에 둥실 떠남--훈전훈-달 밝은 디오 현금도 끊어지고 낙포 로 둥둥 가는 저 배,,여성성악
AM_F06_01321.json,Vocal,궁초댕기,강효주 ,14,0.36,궁초댕기 불어지고 신고산 열두고 개 단숨에 올랐네 무슨 짝에 무슨 짝에 부령청진간님아신고 산 열두고 개 단숨에 올랐네,자진모리,여성성악
BP_FS2_01088.json,Vocal,왔니,,0,0.0,안 죽 멀었다 안 죽 멀었골목 지났다 모퉁이 돌았다,휘모리,여성성악
BP_CR2_01369.json,Instrumental,숨비소리,민소윤,5,0.42,,,대금
AP_F07_06611.json,Instrumental,변강쇠타령,,0,0.0,,굿거리,장구
AP_E01_03283.json,Instrumental,평조회상 상령산(성음지교3),진윤경,11,0.4,,,피리
AP_F08_01634.json,Vocal,판소리 심청가,최호성,6,0.45,중 올라간다 중 하나 올라간 다 저중이어 딧 중인 고몽은 사화주승이라,,남성성악
AP_F01_04818.json,Instrumental,취타풍류 중 별곡타령,,5,0.46,,,피리
AP_E01_02774.json,Instrumental,평조회상 군악(지금풍류),황진아,5,0.24,,,거문고
AP_F07_06564.json,Vocal,방물가,전병훈,4,0.23,남산 더 미만큼 하여 나주랴,,남성성악
AP_F07_06346.json,Instrumental,금강산타령 Part 1,,0,0.0,,중모리,장구
AP_F06_04575.json,Instrumental,뱃노래 (지금풍류),현바롬,5,0.48,,굿거리,대금
BP_CR2_01179.json,Instrumental,소녀의 기도,최경철,0,0.0,,,가야금
BP_CR2_01373.json,Instrumental,숨비소리,민소윤,6,0.34,,,대금
AM_F06_06205.json,Vocal,숨바꼭질노래 (mbc),양분연,0,0.0,꼭꼭 숨어라 치마짜락 보인 다 머리카락 보인다 꼭꼭 숨어라 치마짜락 보인 다 머리카락 보인다 꼭꼭 숨어라 치마짜락 보인 다 머리카락 보인다,자진모리,여성성악
AP_C09_07737.json,Instrumental,취타,김동근,1,0.2,,,단소
AP_F08_01449.json,Vocal,판소리 흥보가,김수인,4,0.35,밥 없으면 살 수 있나오자서 도망헐제오시의 걸 식 허고한 신이 곤궁헐 제표모에게 기식이요,중모리,남성성악
BP_CR1_02235.json,Vocal,섬아리랑_여수 고흥편,,3,0.15,내 이름은 주춘자라네 정경택 신랑과 한평생 살았네 보고픈 새끼는 내 자식이고 어여쁜 새 깽이는 손주새 깽이라네,굿거리,여성성악
BM_CR1_02955.json,Vocal,풋사랑,한승석,13,0.57,얄궂은 업보 일세애육이 무어길래 가슴 칠 줄 알았다면 엿보지나 말 것인데,중모리,남성성악
AP_F02_00319.json,Instrumental,윤윤석류 아쟁산조,,8,1.33,,자진모리,아쟁
BP_CR2_00751.json,Vocal,한 단 묶었네,장명서,5,0.5,호박은 늙으면 맛이나 좋구 사람은 늙으면 어따쓰나,굿거리,여성성악
AM_C08_07643.json,Instrumental,낙양춘,이신애,0,0.0,,,아쟁
AP_E01_02464.json,Instrumental,평조회상 세령산(지금풍류) 거문고,황진아,5,0.33,,,거문고
AP_E04_01944.json,Instrumental,계면가락도드리(지금풍류),박지영,4,0.38,,,피리
BP_CR2_00502.json,Instrumental,강원도 아리랑 (사이),김민정,7,0.4,,,해금
AP_F02_07522.json,Instrumental,신관용류 가야금산조 긴산조 자진모리,서수복,0,0.0,,자진모리,장구
BP_FS2_01586.json,Instrumental,왔단다,김동근,4,0.47,,,소금
AP_E01_03971.json,Instrumental,평조회상 중령산(지금풍류),공유림,3,0.14,,,가야금
AP_E02_05904.json,Instrumental,자진한잎 평롱,이종무,0,0.0,,,생황
AP_F01_00237.json,Instrumental,경기대풍류 중 당악,,1,0.27,,자진모리,해금
AP_E05_05677.json,Instrumental,우조 초수대엽 (해금풍류),박혜신,2,0.15,,,거문고
